Wall time,Step,Value
1659976083.0470455,0,35.875
1659976108.9684749,1,30.375
1659976134.5745866,2,25.0
1659976164.4689627,3,29.625
1659976195.4249065,4,31.5
1659976224.4558177,5,33.5
1659976253.5130177,6,32.0
1659976282.7021725,7,27.125
1659976340.9631948,9,30.5
1659976370.477403,10,26.0
1659976398.5713763,11,30.125
1659976455.035483,13,27.125
1659976483.353573,14,28.75
1659976511.0212376,15,29.0
1659976538.882729,16,28.375
1659976566.6926117,17,28.25
1659976596.783396,18,26.0
1659976623.5680933,19,28.625
1659976650.766359,20,29.375
1659976677.234018,21,29.75
1659976705.939594,22,31.625
1659976733.5565865,23,31.5
1659976791.41041,25,27.25
1659976818.3868127,26,27.5
1659976846.8601186,27,24.25
1659976875.3817472,28,25.75
1659976903.4638097,29,21.625
1659976930.885656,30,27.375
1659976958.9797628,31,27.5
1659976986.8035808,32,25.125
1659977015.5816586,33,24.25
1659977043.0997024,34,23.625
1659977071.4782798,35,28.125
1659977099.1337306,36,23.625
1659977127.1661515,37,25.125
1659977154.7116303,38,25.625
1659977183.6683154,39,25.125
1659977211.5523524,40,19.875
1659977265.7082746,42,18.875
1659977293.2283704,43,17.125
1659977320.767215,44,17.875
1659977348.7939506,45,17.75
1659977376.6740897,46,19.75
1659977403.2205825,47,23.5
1659977429.3952878,48,25.125
1659977456.8108292,49,26.5
1659977484.2890592,50,21.5
1659977512.525155,51,25.5
1659977539.7333484,52,24.625
1659977567.164373,53,26.75
1659977593.7091415,54,26.625
1659977619.9010007,55,21.25
1659977670.3759372,57,27.25
1659977698.1062407,58,22.0
1659977752.6508586,60,25.0
1659977779.8851368,61,25.5
1659977807.702037,62,22.0
1659977834.318144,63,24.375
1659977888.897038,65,26.625
1659977914.6132352,66,28.0
1659977941.5861986,67,32.25
1659977969.3978848,68,25.125
1659977996.7882705,69,33.875
1659978024.8785236,70,31.0
1659978053.1748943,71,36.625
1659978079.492993,72,31.625
1659978108.0377626,73,34.5
1659978135.569856,74,36.75
1659978164.0011208,75,34.75
1659978192.5752304,76,40.75
1659978220.0397618,77,40.125
1659978247.3111281,78,38.0
1659978275.0129423,79,41.875
1659978301.522352,80,36.375
1659978329.066555,81,34.625
1659978356.0275855,82,36.25
1659978383.8129404,83,38.5
1659978411.776806,84,35.25
1659978439.3195932,85,32.25
1659978466.0750458,86,33.5
1659978493.542722,87,29.875
1659978521.9376872,88,31.625
1659978548.6800797,89,32.25
1659978574.3534412,90,32.5
1659978630.423481,92,28.875
1659978658.4883091,93,27.75
1659978685.5485241,94,28.75
1659978713.3405788,95,32.75
1659978740.7204635,96,35.375
1659978794.8939738,98,35.25
1659978821.272191,99,40.25
1659978848.2919347,100,38.5
1659978877.4793012,101,38.25
1659978934.0726573,103,41.25
1659978962.8272433,104,39.75
1659978991.0187886,105,42.25
1659979018.4441388,106,38.25
1659979044.4422848,107,35.5
1659979072.0313504,108,37.5
1659979098.2903247,109,39.0
1659979124.7200978,110,41.25
1659979152.3447418,111,36.5
1659979179.8255231,112,37.75
1659979235.7640758,114,35.5
1659979264.8270915,115,39.125
1659979293.5485537,116,40.25
1659979321.2387114,117,36.75
1659979350.1376154,118,37.75
1659979377.1033092,119,40.75
1659979404.327582,120,33.75
1659979432.8278923,121,40.0
1659979460.273467,122,37.25
1659979486.4961765,123,33.875
1659979542.9595847,125,37.125
1659979571.2161896,126,34.25
1659979597.665807,127,36.5
1659979625.8582628,128,32.75
1659979652.461518,129,34.5
1659979680.7101958,130,34.5
1659979709.1002126,131,35.125
1659979736.6181734,132,34.5
1659979792.3199494,134,31.0
1659979846.5985324,136,35.75
1659979872.5319345,137,38.875
1659979900.9024003,138,37.0
1659979927.9770844,139,35.75
1659979955.6054068,140,37.0
1659979984.6559486,141,40.375
1659980011.2337546,142,39.0
1659980037.6649866,143,41.0
1659980064.2786996,144,40.25
1659980092.2564142,145,41.25
1659980119.7822673,146,39.75
1659980147.7528207,147,40.75
1659980177.0088573,148,42.0
1659980233.8409376,150,40.25
1659980290.3045382,152,40.0
1659980317.0743885,153,41.25
1659980344.925565,154,43.25
1659980398.483239,156,40.75
1659980427.1683712,157,41.5
1659980456.0253277,158,38.75
1659980482.5612025,159,42.25
1659980510.876882,160,40.0
1659980538.871273,161,42.5
1659980567.0693662,162,41.0
1659980594.6926663,163,41.25
1659980622.888061,164,41.0
1659980649.0212138,165,43.75
1659980676.0132606,166,39.5
1659980731.963204,168,42.0
1659980759.908349,169,39.5
1659980786.4338503,170,40.75
1659980813.8334174,171,37.5
1659980840.9677193,172,41.75
1659980867.209785,173,43.75
1659980894.7445788,174,40.75
1659980920.7882257,175,41.5
1659980947.0417016,176,39.25
1659980974.9440496,177,41.5
1659981002.8130758,178,39.75
1659981029.836823,179,41.0
1659981056.2653396,180,41.25
1659981083.5563319,181,40.5
1659981113.1777706,182,38.5
1659981140.4506896,183,39.0
1659981169.7013178,184,39.75
1659981198.3198373,185,40.75
1659981227.6711419,186,39.5
1659981309.7825222,189,41.0
1659981338.9873073,190,41.5
1659981367.0912123,191,40.5
1659981394.8389153,192,40.0
1659981420.6136801,193,41.75
1659981447.6522036,194,38.25
1659981473.6629825,195,39.5
1659981527.396333,197,41.0
1659981553.659468,198,42.75
1659981580.617051,199,39.5
1659981608.4151406,200,43.25
1659981662.1018574,202,40.0
1659981688.5938914,203,40.75
1659981716.0187633,204,40.75
1659981743.5037575,205,42.25
1659981771.2619395,206,40.5
1659981800.002994,207,42.0
1659981827.8292253,208,41.25
1659981855.7199075,209,41.75
1659981883.4386752,210,39.75
1659981910.0801365,211,41.0
1659981937.9600227,212,40.5
1659981967.0880177,213,44.5
1659981994.132493,214,38.75
1659982021.5805867,215,41.0
1659982050.20673,216,40.0
1659982105.0273144,218,41.75
1659982132.2308502,219,42.25
1659982160.1430044,220,40.75
1659982187.8806534,221,40.0
1659982216.307821,222,40.25
1659982244.5247066,223,38.25
1659982271.3385353,224,41.25
1659982298.2938554,225,40.25
1659982325.2112062,226,38.5
1659982378.9338574,228,38.25
1659982406.4233787,229,39.75
1659982434.040851,230,40.0
1659982460.646292,231,41.25
1659982487.36696,232,41.25
1659982514.0382242,233,39.5
1659982541.5052166,234,38.25
1659982570.108805,235,40.5
1659982599.330791,236,39.25
1659982627.9246683,237,41.0
1659982654.6274529,238,43.0
1659982681.8356237,239,43.0
1659982734.7884037,241,42.75
1659982761.4057682,242,41.25
1659982788.756566,243,38.75
1659982815.134209,244,37.0
1659982843.1148603,245,38.25
1659982870.5683792,246,42.125
1659982897.2369103,247,41.75
1659982924.7655988,248,48.875
1659982951.9464712,249,52.5
1659982979.2026887,250,53.25
1659983006.675774,251,59.0
1659983033.6334186,252,61.5
1659983060.5255203,253,61.125
1659983087.9016397,254,60.0
1659983115.1383712,255,55.75
1659983169.1587088,257,61.125
1659983197.9476662,258,64.25
1659983225.683425,259,42.25
1659983252.6734343,260,42.0
1659983278.8651614,261,38.25
1659983306.8502114,262,40.0
1659983334.383192,263,42.25
1659983390.3109589,265,41.0
1659983446.7482116,267,40.5
1659983473.3126268,268,41.5
1659983500.2879746,269,42.0
1659983527.4042811,270,40.5
1659983555.4318137,271,43.5
1659983612.0274866,273,40.5
1659983640.6587236,274,42.25
1659983669.7591264,275,39.5
1659983698.0822577,276,40.5
1659983725.2862864,277,40.5
1659983752.5850732,278,45.75
1659983780.3631682,279,41.0
1659983807.0388415,280,44.75
1659983834.9012523,281,38.75
1659983862.6679046,282,44.25
1659983890.6992717,283,42.75
1659983918.0740085,284,40.75
1659983945.9257097,285,42.75
1659983973.5393898,286,41.25
1659984000.716266,287,42.0
1659984029.6428862,288,40.25
1659984057.3467252,289,41.25
1659984085.4567072,290,40.75
1659984114.285931,291,44.75
1659984141.1326969,292,43.0
1659984193.8568923,294,41.75
1659984219.3944628,295,41.5
1659984244.8002727,296,41.75
1659984272.1504803,297,41.75
1659984298.1506329,298,38.0
1659984325.3739445,299,44.25
1659984352.211951,300,42.0
1659984381.088701,301,42.25
1659984408.041681,302,48.0
1659984434.4474149,303,44.75
1659984461.8776321,304,45.75
1659984489.4786868,305,44.25
1659984518.590636,306,44.5
1659984548.5407248,307,47.0
1659984576.9135,308,49.0
1659984603.959507,309,44.5
1659984657.1436906,311,47.25
1659984684.4302044,312,52.0
1659984710.3777604,313,49.75
1659984737.79036,314,46.5
1659984765.7993312,315,50.75
1659984794.3308895,316,45.0
1659984849.100071,318,47.5
1659984876.6902103,319,47.5
1659984903.041618,320,46.5
1659984930.6057272,321,50.5
1659984958.065072,322,46.5
1659985015.0272338,324,51.0
1659985042.9787467,325,48.25
1659985071.1631901,326,51.0
1659985099.1970034,327,56.0
1659985127.3864992,328,60.0
1659985153.4215906,329,55.5
1659985180.4256895,330,56.0
1659985207.5681489,331,54.5
1659985234.079067,332,51.0
